Wavelength_nm,Reconstructed_1,Reconstructed_2,Reconstructed_3,Reconstructed_4,Reconstructed_5,Reconstructed_6
455,4.86765731854707e-05,1.65124873053832e-22,6.6304978308691e-05,3.37333279861285e-47,3.65810844300875e-48,4.13880942820246e-08
456,4.23754182059365e-05,1.6660187753056e-21,8.05071654723371e-05,9.14033194964539e-46,1.42704016268835e-49,1.75225874104613e-08
457,3.49000137873661e-05,1.59108861766215e-20,9.24784485435477e-05,2.3430542707299e-44,5.26663737406299e-51,7.01840847597584e-09
458,2.71928545727787e-05,1.43835620228423e-19,0.000100499554064595,5.68224987900516e-43,1.83885818716594e-52,2.65947949939339e-09
459,2.00447942134606e-05,1.23085533601726e-18,0.00010332498110658,1.30369472552589e-41,6.07408211833872e-54,9.53393646286417e-10
460,1.39786748862607e-05,9.97073734426298e-18,0.000100499554064595,2.82975665011057e-40,1.89815066198083e-55,3.23344486578317e-10
461,9.22248604727172e-06,7.64607930321343e-17,9.24784485435477e-05,5.81085274968454e-39,5.61174983876324e-57,1.03747171977198e-10
462,5.75635553481408e-06,5.55077302067205e-16,8.05071654723371e-05,1.12888122922236e-37,1.56958024920907e-58,3.14923213712918e-11
463,3.39910682159734e-06,3.8149029997267e-15,6.6304978308691e-05,2.07479041759164e-36,4.15323349498318e-60,9.0437944385602e-12
464,1.89888916635213e-06,2.48222653638723e-14,5.16624905532898e-05,3.60759532677091e-35,1.03969695232101e-61,2.45705167647567e-12
465,1.00358005293038e-06,1.52911459062856e-13,3.80822097556537e-05,5.93442981829267e-34,2.46232171059895e-63,6.31532200348274e-13
466,5.01790026465191e-07,8.91851312478721e-13,2.65574604286628e-05,9.23544403653353e-33,5.51696740502617e-65,1.5356572977973e-13
467,2.37361145794016e-07,4.92506592486833e-12,1.75213895628293e-05,1.35973464807283e-31,1.16942841500724e-66,3.5327322025626e-14
468,1.06222088174917e-07,2.57520859572897e-11,1.09362429252429e-05,1.89394842210091e-30,2.34511673932218e-68,7.68855502228806e-15
469,4.4971527615735e-08,1.27499173772366e-10,6.45781131916122e-06,2.49574225217661e-29,4.44910741905337e-70,1.58305621303098e-15
470,1.80126680610776e-08,5.97738082835955e-10,3.60761476349801e-06,3.11135034057307e-28,7.98544120854987e-72,3.08365332201307e-16
471,6.825524846807e-09,2.65361091043065e-09,1.90665694420649e-06,3.669574425052e-27,1.3559464615599e-73,5.68266896180164e-17
472,2.44687429363533e-09,1.11557971710807e-08,9.53328472103246e-07,4.09449255003421e-26,2.17823016458603e-75,9.90733317804859e-18
473,8.29860063866539e-10,4.44135403112712e-08,4.50951845437252e-07,4.32217224829663e-25,3.31041616591766e-77,1.63410056288724e-18
474,2.66265974329881e-10,1.67454186782331e-07,2.01806603723788e-07,4.31639972413079e-24,4.75969386610373e-79,2.54987206578681e-19
475,8.08246959799509e-11,5.979389959306e-07,8.54393978534599e-08,4.07810911839589e-23,6.47430340039657e-81,3.764225246598e-20
476,2.32107988288263e-11,2.02214533814291e-06,3.42214639899011e-08,3.64513509251105e-22,8.33152831817389e-83,5.25715056603831e-21
477,6.30599606859113e-12,6.47704259937832e-06,1.2967509974933e-08,3.08237884245403e-21,1.01431746249368e-84,6.94612873781253e-22
478,1.62082043723933e-12,1.96500730445328e-05,4.6487072455632e-09,2.46590307396323e-20,1.16826329024632e-86,8.68266092226561e-23
479,3.94124754286948e-13,5.64661976476977e-05,1.5766140915921e-09,1.86630916736564e-19,1.27299048804747e-88,1.02678721992937e-23
480,9.06671829251031e-14,0.000153696349294319,5.05866838902977e-10,1.33631479591597e-18,1.31228204634156e-90,1.14875038043151e-24
481,1.97325917919803e-14,0.00039628036371879,1.53555231995272e-10,9.05214631426024e-18,1.27981388064322e-92,1.21587374963133e-25
482,4.0628963368207e-15,0.000967873353887538,4.40971605985392e-11,5.80112139191026e-17,1.18082093830884e-94,1.21749979472699e-26
483,7.91416229120772e-16,0.00223936067795735,1.19804804402108e-11,3.51714231922249e-16,1.03071566151472e-96,1.1533653803692e-27
484,1.45845073082169e-16,0.00490830064831622,3.07932439764081e-12,2.01736987466706e-15,8.5116019446113e-99,1.03367146253761e-28
485,2.54270614937209e-17,0.0101918111567889,7.48780027513177e-13,1.09470908081436e-14,6.64968901922712e-101,8.76426987023563e-30
486,4.19390109858421e-18,0.0200491321394747,1.72254533588045e-13,5.61991193845773e-14,4.9148352695213e-103,7.03018182793157e-31
487,6.54421857554335e-19,0.0373657766807905,3.74890703113458e-14,2.72946733057041e-13,3.43664123883024e-105,5.33500675740101e-32
488,9.66084264063446e-20,0.0659775488240151,7.71891538853422e-15,1.25413385305776e-12,2.27340614004008e-107,3.83019592882786e-33
489,1.34924190316506e-20,0.110375018712723,1.50357636603556e-15,5.45164392156798e-12,1.42277904555723e-109,2.60150465385167e-34
490,1.78271629090856e-21,0.174946697923123,2.7708454403658e-16,2.2419641975078e-11,8.423944413418e-112,1.67165181545935e-35
491,2.22839536363569e-22,0.26272903851969,4.83077391048262e-17,8.72263027450873e-11,4.71857785180256e-114,1.01621275541081e-36
492,2.63523809211928e-23,0.373838371445983,7.96780548754642e-18,3.21058266382783e-10,2.50048559888841e-116,5.84441517460317e-38
493,2.94825520038892e-24,0.504009011325243,1.24330687472626e-18,1.11798981860164e-09,1.25358905238136e-118,3.17991182649195e-39
494,3.12052658822222e-25,0.643836392129547,1.83542036869576e-19,3.68306548798765e-09,5.9457086505276e-121,1.63684176000109e-40
495,3.1246998150529e-26,0.779289265193769,2.5633644636244e-20,1.147885669124e-08,2.66790068209107e-123,7.97105701188733e-42
496,2.9600995469048e-27,0.893737434321149,3.38690310323121e-21,3.38458501391821e-08,1.13253932850993e-125,3.67233874434313e-43
497,2.65290642495835e-28,0.971203798029969,4.23362887903899e-22,9.44125702277385e-08,4.5483568080967e-128,1.60061600136429e-44
498,2.24934021025768e-29,1,5.00657121801647e-23,2.49156266583805e-07,1.72811787187178e-130,6.60007961221837e-46
499,1.80428842392141e-30,0.975613539355233,5.60125844938887e-24,6.22058758053675e-07,6.2116903301586e-133,2.5747128140984e-47
500,1.36922360893662e-31,0.901865494316644,5.92854916918883e-25,1.46929365647872e-06,2.11234004528936e-135,9.50224043355875e-49
501,9.83015567005371e-33,0.789930293672238,5.93647769655765e-26,3.28324580886954e-06,6.79571986998012e-138,3.31772844352654e-50
