Wavelength_nm,Reconstructed
881.921875,5.05600056013205e-07
881.93125,4.12458905934525e-07
881.940625,3.35826266952909e-07
881.95,2.7290345931918e-07
881.959375,2.21341995208768e-07
881.96875,1.79175654150726e-07
881.978125,1.44761999667271e-07
881.9875,1.1673216569589e-07
881.996875,9.39478627079389e-08
882.00625,7.54646662742671e-08
882.015625,6.05007550360233e-08
882.025,4.8410360666917e-08
882.034375,3.86612796051424e-08
882.04375,3.08158754118696e-08
882.053125,2.45150719277587e-08
882.0625,1.94649013891942e-08
882.071875,1.54252288096008e-08
882.08125,1.22003247127873e-08
882.090625,9.63100324178269e-09
882.1,7.58808225279136e-09
882.109375,5.96695673358935e-09
882.11875,4.68310723344152e-09
882.128125,3.66839140327754e-09
882.1375,2.86798964683596e-09
882.146875,2.23789566640317e-09
882.15625,1.74285971423368e-09
882.165625,1.35470696518608e-09
882.175,1.05096590796403e-09
882.184375,8.13752284948827e-10
882.19375,6.28863137127728e-10
882.203125,4.8504314880202e-10
882.2125,3.73391929497265e-10
882.221875,2.86886287400032e-10
882.23125,2.1999608915659e-10
882.240625,1.68376094897618e-10
882.25,1.28619318075404e-10
882.259375,9.80600849905675e-11
882.26875,7.46171429215665e-11
882.278125,5.6668960943535e-11
882.2875,4.29548455232739e-11
882.296875,3.2496706383216e-11
882.30625,2.45373014993591e-11
882.315625,1.8491601037611e-11
882.325,1.39085702287166e-11
882.334375,1.04412071636231e-11
882.34375,7.82310544746435e-12
882.353125,5.85016205449699e-12
882.3625,4.36633290059994e-12
882.371875,3.25256528055846e-12
882.38125,2.41821785302289e-12
882.390625,1.7944238892585e-12
882.4,1.32896907086251e-12
882.409375,9.82346972496109e-13
882.41875,7.24728179485829e-13
882.428125,5.33636564033249e-13
882.4375,3.92171651942099e-13
882.446875,2.87651734476237e-13
882.45625,2.10580412108133e-13
882.465625,1.53861199432155e-13
882.475,1.12201953351949e-13
882.484375,8.16642309876946e-14
882.49375,5.93230517229895e-14
